id,answer,answer_value,answer_unit,supporting_materials,explanation,ref_id,ref_url
q001,4%,4,percent,"The total energy consumption of the US data centers increased by about 4% from 2010-2014, compared with the estimated 24% increase from 2005-10 and nearly 90% increase from 2000-05 [Masanet et al., 2020].",Quote,"['luccioni2025a', 'han2024']","['https://arxiv.org/pdf/2501.16548', 'https://arxiv.org/pdf/2412.06288']"
q002,Unable to answer with confidence based on the provided documents.,is_blank,cars,is_blank,"The provided documents do not contain information about the estimated amount of CO2e the Amazon Solar Farm Maryland-CPV Backbone would avoid in 2023, nor do they provide a direct equivalent of this specific project's CO2e avoidance to cars taken off the road.","['amazon2023', 'morrison2025']","['https://arxiv.org/pdf/2503.05804', 'https://sustainability.aboutamazon.com/2023-amazon-sustainability-report.pdf']"
q004,Unable to answer with confidence based on the provided documents.,is_blank,data centers,is_blank,"The provided documents state that AWS invested in on-site water treatment systems in 2023 to enable recycling more water for cooling, but they do not specify the number of data centers where this practice began in that year.",['amazon2023'],['https://sustainability.aboutamazon.com/2023-amazon-sustainability-report.pdf']
q005,463 kg per GPU,463,kg/GPU,"Hardware manufacturing NVIDIA does not release the embodied carbon emissions or water consumption about the hardware it produces, so we assume the same embodied carbon emissions as Luccioni et al. (2023), or 3700 kg of CO₂eq per 8x server node, equal 463 kg per GPU.",Quote,"['luccioni2024', 'morrison2025']","['https://arxiv.org/pdf/2311.16863', 'https://arxiv.org/pdf/2503.05804']"
q006,400x,400,multiplier,"cottier2024: ""Currently, GPT-4 has the largest amortized hardware and energy cost, at $40M.""; li2025a: ""In this paper, we introduce FLM-101B, an open-sourced LLM that is successfully trained from scratch within a $100,000 budget.""","GPT-4's amortized hardware and energy cost is $40 million. The FLM-101B model was trained within a $100,000 budget. To find the factor, divide $40,000,000 by $100,000, which equals 400.",['cottier2024'],['https://arxiv.org/pdf/2405.21015']
q007,Approximately 2 tCO2e,2,tCO2e,"strubell2019 - ""Air travel, 1 passenger, NY<>SF & 1984"", ""Table 3 lists CO2 emissions and estimated cost of training the models described in §2.1.""","According to Table 3 in Strubell et al. (2019), a single passenger round trip via air travel between New York and San Francisco generates 1984 kg of CO2e. To convert kilograms to metric tons (tCO2e), divide by 1000: 1984 kg / 1000 = 1.984 tCO2e. As the question asks for an 'approximate' value, 1.984 tCO2e is rounded to 2 tCO2e.","['patterson2021', 'han2024']","['https://arxiv.org/pdf/2412.06288', 'https://arxiv.org/pdf/2104.10350']"
q008,44.41,44.41,score,Table 6: Performance of the three stages of FLM on Open LLM.,Table 6 in li2025a shows the performance of the three stages of FLM on Open LLM. The row for '101B' (representing FLM-101B) shows an 'Average' score of 44.41.,['li2025a'],['https://arxiv.org/pdf/2309.03852']
q010,"More than 6,750 fold",6750,fold,"Fifty years later, the typical microprocessor is manufactured in a 5+ nm process technology and is capable of running at 5,000,000kHz (e.g., [Intel, 2019, AMD, 2020]) with more than 3.9 billion transistors. This is a more than 6,750 fold improvement in processor clock speed and 1.7 million times more transistors for microprocessors manufactured in 1971 than that in 2021.",Quote,"['wu2021b', 'patterson2021']","['https://arxiv.org/pdf/2108.06738', 'https://arxiv.org/pdf/2104.10350']"
q011,Unable to answer with confidence based on the provided documents.,is_blank,days,is_blank,"To calculate the training time, the total computational requirement in FLOPs for GPT-3 is needed. The formula '6 × parameters × tokens' is provided in the documents (cottier2024) for estimating compute for GPT-3 variants. The number of parameters for GPT-3 (175 billion) is also mentioned (patterson2021). However, the total number of tokens GPT-3 was trained on is not explicitly stated in the provided documents. Without the number of tokens, the total FLOPs cannot be calculated, and thus the training time cannot be determined.","['cottier2024', 'patterson2021']","['https://arxiv.org/pdf/2104.10350', 'https://arxiv.org/pdf/2405.21015']"
q012,0.864 kWh,0.864,kWh,"Request freq. (req / s) | GPU Power Usage (kWh) | Carbon Emissions (g CO2eq) | Water consump. (L) | Seconds per 100 req. | # Inf. for CO2 equiv. w/ training

Llama 3.2 1B | ∞ | 0.003 | 1.0 | 0.004 | 1.38 | 258 bil.
8 | 0.036 | 12.0 | 0.054 | 12.64 | 21.5 bil.
1 | 0.16 | 53.1 | 0.238 | 100.58 | 4.83 bil.","The table in morrison2025 provides the 'GPU Power Usage (kWh)' for the Llama 3.2 1B model at different request frequencies. For an 8 req/s frequency, the GPU Power Usage is 0.036 kWh per 100 requests. The question asks for the usage for 2400 prompts. Therefore, the calculation is (2400 prompts / 100 prompts) * 0.036 kWh = 24 * 0.036 kWh = 0.864 kWh.","['chung2025', 'jegham2025']","['https://arxiv.org/pdf/2505.06371', 'https://arxiv.org/pdf/2505.09598']"
